username,password,firstname,lastname,email,country,lang
tudeng,AjutineParool1#,Tudeng,Tipikas,,EE,EN
Cgldh,AjutineParool1#,Cgldh,Cgldh,CgldhNnlsu@moodlefakemail.com,EE,EN
Vamvo,AjutineParool1#,Vamvo,Vamvo,VamvoLxlya@moodlefakemail.com,EE,EN
Bhaxu,AjutineParool1#,Bhaxu,Bhaxu,BhaxuRbwgy@moodlefakemail.com,EE,EN
Sqzvd,AjutineParool1#,Sqzvd,Sqzvd,SqzvdPvlwu@moodlefakemail.com,EE,EN
Eyfqh,AjutineParool1#,Eyfqh,Eyfqh,EyfqhGjxkl@moodlefakemail.com,EE,EN
Rglnz,AjutineParool1#,Rglnz,Rglnz,RglnzLduhe@moodlefakemail.com,EE,EN
Hmfjj,AjutineParool1#,Hmfjj,Hmfjj,HmfjjMcaku@moodlefakemail.com,EE,EN
Eckym,AjutineParool1#,Eckym,Eckym,EckymDbgyo@moodlefakemail.com,EE,EN
Jpmta,AjutineParool1#,Jpmta,Jpmta,JpmtaWtbwq@moodlefakemail.com,EE,EN
Fydxw,AjutineParool1#,Fydxw,Fydxw,FydxwKpurl@moodlefakemail.com,EE,EN
Lxmjo,AjutineParool1#,Lxmjo,Lxmjo,LxmjoCeduf@moodlefakemail.com,EE,EN
Txhon,AjutineParool1#,Txhon,Txhon,TxhonOpqdd@moodlefakemail.com,EE,EN
Kdwcb,AjutineParool1#,Kdwcb,Kdwcb,KdwcbDzais@moodlefakemail.com,EE,EN
Npguj,AjutineParool1#,Npguj,Npguj,NpgujEqucj@moodlefakemail.com,EE,EN
Pqhfs,AjutineParool1#,Pqhfs,Pqhfs,PqhfsEpdlq@moodlefakemail.com,EE,EN
Ndxqr,AjutineParool1#,Ndxqr,Ndxqr,NdxqrNonem@moodlefakemail.com,EE,EN
Ruudl,AjutineParool1#,Ruudl,Ruudl,RuudlJeeua@moodlefakemail.com,EE,EN
Yjnog,AjutineParool1#,Yjnog,Yjnog,YjnogAazdf@moodlefakemail.com,EE,EN
Uffse,AjutineParool1#,Uffse,Uffse,UffseEcaqa@moodlefakemail.com,EE,EN
Bmnae,AjutineParool1#,Bmnae,Bmnae,BmnaeWrxge@moodlefakemail.com,EE,EN
Hkkel,AjutineParool1#,Hkkel,Hkkel,HkkelQzzjt@moodlefakemail.com,EE,EN
Siqvi,AjutineParool1#,Siqvi,Siqvi,SiqviScgaj@moodlefakemail.com,EE,EN
Gjrjf,AjutineParool1#,Gjrjf,Gjrjf,GjrjfYswuf@moodlefakemail.com,EE,EN
Vmbdn,AjutineParool1#,Vmbdn,Vmbdn,VmbdnIgyyl@moodlefakemail.com,EE,EN
Ppfxt,AjutineParool1#,Ppfxt,Ppfxt,PpfxtHrjsv@moodlefakemail.com,EE,EN
Wvduc,AjutineParool1#,Wvduc,Wvduc,WvducYigdr@moodlefakemail.com,EE,EN
Qtsgt,AjutineParool1#,Qtsgt,Qtsgt,QtsgtUojjd@moodlefakemail.com,EE,EN
Aiylr,AjutineParool1#,Aiylr,Aiylr,AiylrTswae@moodlefakemail.com,EE,EN
Rafuf,AjutineParool1#,Rafuf,Rafuf,RafufSkekb@moodlefakemail.com,EE,EN
Rzqms,AjutineParool1#,Rzqms,Rzqms,RzqmsCewsg@moodlefakemail.com,EE,EN
Qqowy,AjutineParool1#,Qqowy,Qqowy,QqowyQbtfq@moodlefakemail.com,EE,EN
Qduhm,AjutineParool1#,Qduhm,Qduhm,QduhmLveng@moodlefakemail.com,EE,EN
Fomxd,AjutineParool1#,Fomxd,Fomxd,FomxdXfohb@moodlefakemail.com,EE,EN
Iakht,AjutineParool1#,Iakht,Iakht,IakhtTtiaq@moodlefakemail.com,EE,EN
Zeitw,AjutineParool1#,Zeitw,Zeitw,ZeitwWuewv@moodlefakemail.com,EE,EN
Sswcy,AjutineParool1#,Sswcy,Sswcy,SswcyMavei@moodlefakemail.com,EE,EN
Uiqyq,AjutineParool1#,Uiqyq,Uiqyq,UiqyqGzkmd@moodlefakemail.com,EE,EN
Zpjkp,AjutineParool1#,Zpjkp,Zpjkp,ZpjkpGpzqi@moodlefakemail.com,EE,EN
Nxxsd,AjutineParool1#,Nxxsd,Nxxsd,NxxsdRcbaj@moodlefakemail.com,EE,EN
Zzbmg,AjutineParool1#,Zzbmg,Zzbmg,ZzbmgFehvw@moodlefakemail.com,EE,EN
Rgzeh,AjutineParool1#,Rgzeh,Rgzeh,RgzehGfbkl@moodlefakemail.com,EE,EN
Pzncf,AjutineParool1#,Pzncf,Pzncf,PzncfUsdnz@moodlefakemail.com,EE,EN
Cqond,AjutineParool1#,Cqond,Cqond,CqondQddld@moodlefakemail.com,EE,EN
Qnzlr,AjutineParool1#,Qnzlr,Qnzlr,QnzlrEerqw@moodlefakemail.com,EE,EN
Pbhie,AjutineParool1#,Pbhie,Pbhie,PbhieIfsii@moodlefakemail.com,EE,EN
Ypkud,AjutineParool1#,Ypkud,Ypkud,YpkudXapfh@moodlefakemail.com,EE,EN
Ngcoo,AjutineParool1#,Ngcoo,Ngcoo,NgcooNizpq@moodlefakemail.com,EE,EN
Xztgd,AjutineParool1#,Xztgd,Xztgd,XztgdIdwsz@moodlefakemail.com,EE,EN
Wocqh,AjutineParool1#,Wocqh,Wocqh,WocqhPxtfy@moodlefakemail.com,EE,EN
Nhwox,AjutineParool1#,Nhwox,Nhwox,NhwoxGgaoh@moodlefakemail.com,EE,EN
