username,password,firstname,lastname,email,country,lang
cgldh,AjutineParool1#,Cgldh,Cgldh,CgldhNnlsu@moodlefakemail.com,EE,EN
vamvo,AjutineParool1#,Vamvo,Vamvo,VamvoLxlya@moodlefakemail.com,EE,EN
bhaxu,AjutineParool1#,Bhaxu,Bhaxu,BhaxuRbwgy@moodlefakemail.com,EE,EN
sqzvd,AjutineParool1#,Sqzvd,Sqzvd,SqzvdPvlwu@moodlefakemail.com,EE,EN
eyfqh,AjutineParool1#,Eyfqh,Eyfqh,EyfqhGjxkl@moodlefakemail.com,EE,EN
rglnz,AjutineParool1#,Rglnz,Rglnz,RglnzLduhe@moodlefakemail.com,EE,EN
hmfjj,AjutineParool1#,Hmfjj,Hmfjj,HmfjjMcaku@moodlefakemail.com,EE,EN
eckym,AjutineParool1#,Eckym,Eckym,EckymDbgyo@moodlefakemail.com,EE,EN
jpmta,AjutineParool1#,Jpmta,Jpmta,JpmtaWtbwq@moodlefakemail.com,EE,EN
fydxw,AjutineParool1#,Fydxw,Fydxw,FydxwKpurl@moodlefakemail.com,EE,EN
lxmjo,AjutineParool1#,Lxmjo,Lxmjo,LxmjoCeduf@moodlefakemail.com,EE,EN
txhon,AjutineParool1#,Txhon,Txhon,TxhonOpqdd@moodlefakemail.com,EE,EN
kdwcb,AjutineParool1#,Kdwcb,Kdwcb,KdwcbDzais@moodlefakemail.com,EE,EN
npguj,AjutineParool1#,Npguj,Npguj,NpgujEqucj@moodlefakemail.com,EE,EN
pqhfs,AjutineParool1#,Pqhfs,Pqhfs,PqhfsEpdlq@moodlefakemail.com,EE,EN
ndxqr,AjutineParool1#,Ndxqr,Ndxqr,NdxqrNonem@moodlefakemail.com,EE,EN
ruudl,AjutineParool1#,Ruudl,Ruudl,RuudlJeeua@moodlefakemail.com,EE,EN
yjnog,AjutineParool1#,Yjnog,Yjnog,YjnogAazdf@moodlefakemail.com,EE,EN
uffse,AjutineParool1#,Uffse,Uffse,UffseEcaqa@moodlefakemail.com,EE,EN
bmnae,AjutineParool1#,Bmnae,Bmnae,BmnaeWrxge@moodlefakemail.com,EE,EN
hkkel,AjutineParool1#,Hkkel,Hkkel,HkkelQzzjt@moodlefakemail.com,EE,EN
siqvi,AjutineParool1#,Siqvi,Siqvi,SiqviScgaj@moodlefakemail.com,EE,EN
gjrjf,AjutineParool1#,Gjrjf,Gjrjf,GjrjfYswuf@moodlefakemail.com,EE,EN
vmbdn,AjutineParool1#,Vmbdn,Vmbdn,VmbdnIgyyl@moodlefakemail.com,EE,EN
ppfxt,AjutineParool1#,Ppfxt,Ppfxt,PpfxtHrjsv@moodlefakemail.com,EE,EN
wvduc,AjutineParool1#,Wvduc,Wvduc,WvducYigdr@moodlefakemail.com,EE,EN
qtsgt,AjutineParool1#,Qtsgt,Qtsgt,QtsgtUojjd@moodlefakemail.com,EE,EN
aiylr,AjutineParool1#,Aiylr,Aiylr,AiylrTswae@moodlefakemail.com,EE,EN
rafuf,AjutineParool1#,Rafuf,Rafuf,RafufSkekb@moodlefakemail.com,EE,EN
rzqms,AjutineParool1#,Rzqms,Rzqms,RzqmsCewsg@moodlefakemail.com,EE,EN
qqowy,AjutineParool1#,Qqowy,Qqowy,QqowyQbtfq@moodlefakemail.com,EE,EN
qduhm,AjutineParool1#,Qduhm,Qduhm,QduhmLveng@moodlefakemail.com,EE,EN
fomxd,AjutineParool1#,Fomxd,Fomxd,FomxdXfohb@moodlefakemail.com,EE,EN
iakht,AjutineParool1#,Iakht,Iakht,IakhtTtiaq@moodlefakemail.com,EE,EN
zeitw,AjutineParool1#,Zeitw,Zeitw,ZeitwWuewv@moodlefakemail.com,EE,EN
sswcy,AjutineParool1#,Sswcy,Sswcy,SswcyMavei@moodlefakemail.com,EE,EN
uiqyq,AjutineParool1#,Uiqyq,Uiqyq,UiqyqGzkmd@moodlefakemail.com,EE,EN
zpjkp,AjutineParool1#,Zpjkp,Zpjkp,ZpjkpGpzqi@moodlefakemail.com,EE,EN
nxxsd,AjutineParool1#,Nxxsd,Nxxsd,NxxsdRcbaj@moodlefakemail.com,EE,EN
zzbmg,AjutineParool1#,Zzbmg,Zzbmg,ZzbmgFehvw@moodlefakemail.com,EE,EN
rgzeh,AjutineParool1#,Rgzeh,Rgzeh,RgzehGfbkl@moodlefakemail.com,EE,EN
pzncf,AjutineParool1#,Pzncf,Pzncf,PzncfUsdnz@moodlefakemail.com,EE,EN
cqond,AjutineParool1#,Cqond,Cqond,CqondQddld@moodlefakemail.com,EE,EN
qnzlr,AjutineParool1#,Qnzlr,Qnzlr,QnzlrEerqw@moodlefakemail.com,EE,EN
pbhie,AjutineParool1#,Pbhie,Pbhie,PbhieIfsii@moodlefakemail.com,EE,EN
ypkud,AjutineParool1#,Ypkud,Ypkud,YpkudXapfh@moodlefakemail.com,EE,EN
ngcoo,AjutineParool1#,Ngcoo,Ngcoo,NgcooNizpq@moodlefakemail.com,EE,EN
xztgd,AjutineParool1#,Xztgd,Xztgd,XztgdIdwsz@moodlefakemail.com,EE,EN
wocqh,AjutineParool1#,Wocqh,Wocqh,WocqhPxtfy@moodlefakemail.com,EE,EN
nhwox,AjutineParool1#,Nhwox,Nhwox,NhwoxGgaoh@moodlefakemail.com,EE,EN
