username,password,firstname,lastname,email,country,lang
tudeng,AjutineParool1#,Tudeng,Tipikas,,EE,EN
CgldhNnlsu,AjutineParool1#,Cgldh,Nnlsu,CgldhNnlsu@moodlefakemail.com,EE,EN
VamvoLxlya,AjutineParool1#,Vamvo,Lxlya,VamvoLxlya@moodlefakemail.com,EE,EN
BhaxuRbwgy,AjutineParool1#,Bhaxu,Rbwgy,BhaxuRbwgy@moodlefakemail.com,EE,EN
SqzvdPvlwu,AjutineParool1#,Sqzvd,Pvlwu,SqzvdPvlwu@moodlefakemail.com,EE,EN
EyfqhGjxkl,AjutineParool1#,Eyfqh,Gjxkl,EyfqhGjxkl@moodlefakemail.com,EE,EN
RglnzLduhe,AjutineParool1#,Rglnz,Lduhe,RglnzLduhe@moodlefakemail.com,EE,EN
HmfjjMcaku,AjutineParool1#,Hmfjj,Mcaku,HmfjjMcaku@moodlefakemail.com,EE,EN
EckymDbgyo,AjutineParool1#,Eckym,Dbgyo,EckymDbgyo@moodlefakemail.com,EE,EN
JpmtaWtbwq,AjutineParool1#,Jpmta,Wtbwq,JpmtaWtbwq@moodlefakemail.com,EE,EN
FydxwKpurl,AjutineParool1#,Fydxw,Kpurl,FydxwKpurl@moodlefakemail.com,EE,EN
LxmjoCeduf,AjutineParool1#,Lxmjo,Ceduf,LxmjoCeduf@moodlefakemail.com,EE,EN
TxhonOpqdd,AjutineParool1#,Txhon,Opqdd,TxhonOpqdd@moodlefakemail.com,EE,EN
KdwcbDzais,AjutineParool1#,Kdwcb,Dzais,KdwcbDzais@moodlefakemail.com,EE,EN
NpgujEqucj,AjutineParool1#,Npguj,Equcj,NpgujEqucj@moodlefakemail.com,EE,EN
PqhfsEpdlq,AjutineParool1#,Pqhfs,Epdlq,PqhfsEpdlq@moodlefakemail.com,EE,EN
NdxqrNonem,AjutineParool1#,Ndxqr,Nonem,NdxqrNonem@moodlefakemail.com,EE,EN
RuudlJeeua,AjutineParool1#,Ruudl,Jeeua,RuudlJeeua@moodlefakemail.com,EE,EN
YjnogAazdf,AjutineParool1#,Yjnog,Aazdf,YjnogAazdf@moodlefakemail.com,EE,EN
UffseEcaqa,AjutineParool1#,Uffse,Ecaqa,UffseEcaqa@moodlefakemail.com,EE,EN
BmnaeWrxge,AjutineParool1#,Bmnae,Wrxge,BmnaeWrxge@moodlefakemail.com,EE,EN
HkkelQzzjt,AjutineParool1#,Hkkel,Qzzjt,HkkelQzzjt@moodlefakemail.com,EE,EN
SiqviScgaj,AjutineParool1#,Siqvi,Scgaj,SiqviScgaj@moodlefakemail.com,EE,EN
GjrjfYswuf,AjutineParool1#,Gjrjf,Yswuf,GjrjfYswuf@moodlefakemail.com,EE,EN
VmbdnIgyyl,AjutineParool1#,Vmbdn,Igyyl,VmbdnIgyyl@moodlefakemail.com,EE,EN
